symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE,score_raw,score_norm,rank,pct_1w_n,pct_1m_n,rel_volume_n,revenueGrowth_n,earningsQuarterlyGrowth_n,rec_n,insider_n,valuation_n,kept,dropped_due_to
OCTVV,Octave Intelligence plc,NMS,Technology,Software - Application,,17.48,17.286,-5.1457,1.5212,,,,15.2,0.461192,0.422977,15,0.677378,0.136543,0.305535,0.5,0.5,0.5,0.5,0.703924,False,OCTV
KVYO,"Klaviyo, Inc. Series A",NYQ,Technology,Software - Application,18.36,16.68,19.2118,-24.6106,0.9185,0.279,,,,0.41825,0.337739,27,0.700944,0.041205,0.145157,0.481629,0.5,0.5,0.5,0.5,False,MNTN
KC,Kingsoft Cloud Holdings Limited,NMS,Technology,Software - Application,13.33,13.75,4.4207,-9.9277,1.6195,0.237,,,,0.406264,0.313945,34,0.519942,0.113121,0.331692,0.463037,0.5,0.5,0.5,0.5,False,OCTV
VNET,"VNET Group, Inc.",NMS,Technology,Information Technology Services,10.6,10.935,0.6536,27.2727,0.9617,0.198,,0.45,,0.405033,0.311502,36,0.473843,0.295326,0.156652,0.445772,0.5,0.5,0.5,0.740254,False,MEI
VIA,"Via Transportation, Inc.",NYQ,Technology,Software - Application,17.04,15.7,7.6011,-8.3729,0.9048,0.292,,,,0.392926,0.28747,42,0.558861,0.120737,0.141511,0.487384,0.5,0.5,0.5,0.5,False,PATH
PRGS,Progress Software Corporation,NMS,Technology,Software - Infrastructure,35.32,33.8,14.4923,16.0927,0.5865,0.041,1.084,1.18,17.4615,0.389944,0.28155,43,0.643191,0.240567,0.056812,0.376273,0.152405,0.5,0.5,0.921117,False,PATH
SCSC,"ScanSource, Inc.",NMS,Technology,Electronics & Computer Distribution,48.13,48.085,5.8798,16.5011,0.9695,0.088,-0.031,0.73,14.614,0.369895,0.241753,58,0.537797,0.242568,0.158728,0.397078,0.05995,0.5,0.5,0.939858,False,VYX
PAGS,PagSeguro Digital Ltd.,NYQ,Technology,Software - Infrastructure,9.43,9.21,-0.5394,-5.4359,0.9873,0.015,0.039,1.6304,6.3586,0.326151,0.154921,71,0.459244,0.135122,0.163465,0.364763,0.065755,0.5,0.5,0.9458,False,STNE
KD,"Kyndryl Holdings, Inc.",NYQ,Technology,Information Technology Services,12.89,12.655,7.0518,-12.4392,0.8356,-0.008,-0.754,,14.8235,0.324914,0.152465,72,0.552139,0.10082,0.123097,0.354582,0.0,0.5,0.5,0.705096,False,MNTN
