symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE
ZS,"Zscaler, Inc.",NMS,Technology,Software - Infrastructure,144.15,134.37,3.3297,-5.5063,1.8705,0.2540,,1.5700,
ZM,"Zoom Communications, Inc.",NMS,Technology,Software - Application,111.88,106.2,5.7137,-0.4033,0.6785,0.0550,0.6720,4.2100,15.6637
ZETA,Zeta Global Holdings Corp.,NYQ,Technology,Software - Infrastructure,25.25,23.27,15.3122,26.0563,1.3654,0.4990,,0.7700,
ZBRA,Zebra Technologies Corporation,NMS,Technology,Communication Equipment,254.44,249.3,0.5647,11.4290,1.0948,0.1430,-0.0070,0.5300,30.1087
YOU,"Clear Secure, Inc.",NYQ,Technology,Software - Application,56.78,56.08,-1.1283,-0.2668,0.5262,0.1970,0.5270,0.8513,44.8640
YMM,Full Truck Alliance Co. Ltd.,NYQ,Technology,Software - Application,9.51,9.09,2.7119,5.4524,0.6749,0.0550,-0.2190,,15.4068
YEXT,"Yext, Inc.",NYQ,Technology,Software - Infrastructure,4.21,3.83,-4.7264,-7.0388,1.1231,-0.0140,2.4090,0.1987,47.8750
YALA,Yalla Group Limited,NYQ,Technology,Software - Application,5.65,5.53,-6.9024,-17.5857,0.9794,-0.0580,-0.2200,0.5900,7.0000
XYZ,"Block, Inc.",NYQ,Technology,Software - Infrastructure,74.15,69.8,-6.1197,-2.9207,1.1628,0.0490,,0.7800,54.5313
XPER,Xperi Inc.,NYQ,Technology,Software - Application,7.99,7.48,-6.6167,7.3171,0.9060,0.0020,,,
XNET,Xunlei Limited,NMS,Technology,Software - Infrastructure,5.41,4.98,-16.0202,-20.0642,1.9080,0.5390,,2.5800,0.3686
WSE,Wise Group plc,NMS,Technology,Information Technology Services,11.54,10.72,-14.0337,-30.3896,1.5568,0.0920,-0.1390,4.4000,21.4400
WOLF,"Wolfspeed, Inc.",NYQ,Technology,Semiconductors,61.06,61.67,-5.1960,71.5915,1.3770,-0.1900,,,
WLTH,Wealthfront Corporation,NMS,Technology,Software - Application,12.31,11.76,-1.5075,3.1579,0.9657,0.1630,,,
WK,Workiva Inc.,NYQ,Technology,Software - Application,51.94,49.84,7.0217,-11.9123,1.2826,0.1990,,,207.6667
WIX,Wix.com Ltd.,NMS,Technology,Software - Infrastructure,57.07,55.075,4.6059,-30.9318,0.5840,0.1430,,0.1300,
WIT,Wipro Limited,NYQ,Technology,Information Technology Services,2.21,2.13,-12.3457,7.0352,0.3761,0.0770,-0.0190,1.3800,16.3846
WEX,WEX Inc.,NYQ,Technology,Software - Infrastructure,148.35,145.87,1.0320,-5.3898,0.9600,0.0580,0.0870,0.8400,16.4268
WDC,Western Digital Corporation,NMS,Technology,Computer Hardware,563.1,594.11,11.8472,34.3046,0.9986,0.4550,5.1630,0.5000,35.5968
WDAY,"Workday, Inc.",NMS,Technology,Software - Application,148.88,146.9,12.9913,14.8643,0.8569,0.1350,2.2650,0.5900,45.6211
VYX,NCR Voyix Corporation,NYQ,Technology,Information Technology Services,7.27,7.15,5.4572,-0.5563,1.1701,-0.0100,,2.6800,25.5357
VTEX,VTEX,NYQ,Technology,Software - Application,3.87,3.91,4.8257,2.6247,1.5587,0.1210,3.7330,0.0806,30.0769
VSH,"Vishay Intertechnology, Inc.",NYQ,Technology,Semiconductors,62.49,63.97,22.4541,109.2574,2.9728,0.1730,,1.3500,6397.0005
VSAT,"ViaSat, Inc.",NMS,Technology,Communication Equipment,72.61,69.62,-19.6909,9.0881,1.8249,0.0210,,0.2600,
VRSN,"VeriSign, Inc.",NMS,Technology,Software - Infrastructure,297.41,297.08,0.3174,8.6523,0.5848,0.0660,0.0760,3.5900,32.7903
VRNS,"Varonis Systems, Inc.",NMS,Technology,Software - Infrastructure,35.88,33.51,5.3442,22.2546,0.7533,0.2690,,7.3800,
