symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE,score_raw,score_norm,rank,pct_1w_n,pct_1m_n,rel_volume_n,revenueGrowth_n,earningsQuarterlyGrowth_n,rec_n,insider_n,valuation_n
RAMP,"LiveRamp Holdings, Inc.",NYQ,Technology,Software - Infrastructure,37.58,37.59,-0.2786,24.0020,1.6032,0.0920,,0.5900,16.8543,0.424801,0.350741,26,0.462435,0.279307,0.327355,0.398849,0.500000,0.500000,0.500000,0.935955
KVYO,"Klaviyo, Inc. Series A",NYQ,Technology,Software - Application,18.36,16.68,19.2118,-24.6106,0.9185,0.2790,,,,0.418250,0.337739,27,0.700944,0.041205,0.145157,0.481629,0.500000,0.500000,0.500000,0.500000
MEI,"Methode Electronics, Inc.",NYQ,Technology,Electronic Components,11.63,12.46,9.3450,40.9910,0.5388,-0.0260,,0.7800,,0.417912,0.337066,28,0.580202,0.362518,0.044119,0.346614,0.500000,0.500000,0.500000,0.733012
RNG,"Ringcentral, Inc.",NYQ,Technology,Software - Application,49.025,46.21,11.4183,-1.9048,1.0369,0.0530,,0.2400,49.3085,0.414563,0.330419,29,0.605573,0.152417,0.176663,0.381585,0.500000,0.500000,0.500000,0.842595
KN,Knowles Corporation,NYQ,Technology,Electronic Components,37.81,39.3,4.2398,22.8155,0.9303,0.1580,,0.4300,55.2324,0.412405,0.326135,30,0.517728,0.273495,0.148297,0.428066,0.500000,0.500000,0.500000,0.819983
KLAR,Klarna Group plc,NYQ,Financial Services,Credit Services,17.9,17.395,1.5072,17.6747,0.8389,0.4440,,0.1400,,0.407866,0.317126,31,0.484289,0.248316,0.123976,0.554670,0.500000,0.500000,0.500000,0.747057
VYX,NCR Voyix Corporation,NYQ,Technology,Information Technology Services,7.49,7.145,10.8994,1.1822,0.8989,-0.0100,,2.6800,25.9821,0.407224,0.315851,32,0.599223,0.167537,0.139941,0.353696,0.500000,0.500000,0.500000,0.861672
QBTS,D-Wave Quantum Inc.,NYQ,Technology,Computer Hardware,29.18,29.4,8.8464,42.9780,1.4674,-0.8090,,,,0.406436,0.314287,33,0.574100,0.372250,0.291219,0.000000,0.500000,0.500000,0.500000,0.500000
KC,Kingsoft Cloud Holdings Limited,NMS,Technology,Software - Application,13.33,13.75,4.4207,-9.9277,1.6195,0.2370,,,,0.406264,0.313945,34,0.519942,0.113121,0.331692,0.463037,0.500000,0.500000,0.500000,0.500000
UMC,United Microelectronics Corpora,NYQ,Technology,Semiconductors,22.89,22.305,0.9901,72.8814,0.9034,0.0550,1.0790,1.7100,35.6191,0.405053,0.311541,35,0.477961,0.518715,0.141139,0.382470,0.151990,0.500000,0.500000,0.852956
VNET,"VNET Group, Inc.",NMS,Technology,Information Technology Services,10.6,10.935,0.6536,27.2727,0.9617,0.1980,,0.4500,,0.405033,0.311502,36,0.473843,0.295326,0.156652,0.445772,0.500000,0.500000,0.500000,0.740254
U,Unity Software Inc.,NYQ,Technology,Software - Application,32.17,30.84,10.7529,10.9127,0.6647,0.1680,,,,0.404558,0.310559,37,0.597431,0.215196,0.077621,0.432492,0.500000,0.500000,0.500000,0.500000
LSPD,Lightspeed Commerce Inc. Subord,NYQ,Technology,Software - Application,9.89,9.54,9.1987,1.3089,1.0206,0.1470,,,,0.403856,0.309165,38,0.578412,0.168157,0.172326,0.423196,0.500000,0.500000,0.500000,0.500000
SONO,"Sonos, Inc.",NMS,Technology,Consumer Electronics,16.17,16.54,3.3898,10.7599,1.3993,0.0840,,,96.8824,0.402542,0.306557,39,0.507326,0.214448,0.273097,0.395308,0.500000,0.500000,0.500000,0.449619
ST,Sensata Technologies Holding pl,NYQ,Technology,Scientific & Technical Instruments,49.29,52.83,5.1871,29.5250,1.7679,0.0260,0.2460,0.2900,161.0000,0.396492,0.294548,40,0.529320,0.306358,0.371181,0.369633,0.082919,0.500000,0.500000,0.493765
NTGR,"NETGEAR, Inc.",NMS,Technology,Communication Equipment,26.71,27.295,5.6202,10.2792,0.9201,-0.0200,,0.7400,,0.393637,0.288881,41,0.534620,0.212093,0.145583,0.349270,0.500000,0.500000,0.500000,0.733890
VIA,"Via Transportation, Inc.",NYQ,Technology,Software - Application,17.04,15.7,7.6011,-8.3729,0.9048,0.2920,,,,0.392926,0.287470,42,0.558861,0.120737,0.141511,0.487384,0.500000,0.500000,0.500000,0.500000
