symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE
PONY,Pony AI Inc.,NMS,Technology,Information Technology Services,10.79,10.76,11.1910,4.1346,1.0929,1.4500,,,
PLAB,"Photronics, Inc.",NMS,Technology,Semiconductor Equipment & Materials,31.87,32.87,-38.0677,-33.0234,2.3989,-0.0050,2.5470,2.6400,12.2288
PICS,PicS N.V.,NMS,Technology,Software - Infrastructure,11.07,10.915,3.1394,-4.1202,1.5578,0.6870,11.3060,0.0059,6.6886
PEGA,Pegasystems Inc.,NMS,Technology,Software - Application,37.93,36.21,8.4741,-0.4893,0.6676,-0.0960,-0.6160,4.1100,19.7892
PD,"PagerDuty, Inc.",NYQ,Technology,Software - Application,10.69,10.2524,41.0292,36.6577,0.9147,0.0100,,,4.8986
PAYP,PayPay Corporation - American D,NMS,Technology,Software - Infrastructure,18.61,18.49,-3.2091,-11.7092,0.3730,0.2910,0.3950,1.8900,16.6964
PAY,"Paymentus Holdings, Inc.",NYQ,Technology,Software - Infrastructure,24.26,22.3,-4.1649,-22.0126,1.8142,0.3020,0.5120,0.7648,39.1579
PATH,"UiPath, Inc.",NYQ,Technology,Software - Infrastructure,13.1,12.08,9.1398,12.4654,1.7262,0.1730,,0.4700,20.3000
PAR,PAR Technology Corporation,NYQ,Technology,Software - Application,16.26,15.26,2.8264,6.6294,0.5126,0.1940,,0.7700,
PAGS,PagSeguro Digital Ltd.,NYQ,Technology,Software - Infrastructure,9.43,9.21,-0.5394,-5.4359,0.9873,0.0150,0.0390,1.6304,6.3586
OUST,"Ouster, Inc.",NMS,Technology,Electronic Components,44.93,47.315,4.0696,63.5169,1.1304,0.4890,,,
OTEX,Open Text Corporation,NMS,Technology,Software - Application,25.38,24.91,7.6422,7.0842,0.9732,0.0220,0.8600,1.0200,12.0340
OOMA,"Ooma, Inc.",NYQ,Technology,Software - Application,18.14,17.63,0.9753,-1.6760,1.2360,0.2480,,,53.3333
OCTVV,Octave Intelligence plc,NMS,Technology,Software - Application,,17.48,17.2860,-5.1457,1.5212,,,,15.2000
OCTV,Octave Intelligence plc,NMS,Technology,Software - Application,20.02,23.3,43.6499,14.3443,2.2940,,,,21.8348
NTSK,"Netskope, Inc.",NMS,Technology,Software - Infrastructure,12.86,12.435,8.6253,17.1512,1.5506,0.3220,,,
NTGR,"NETGEAR, Inc.",NMS,Technology,Communication Equipment,26.71,27.295,5.6202,10.2792,0.9201,-0.0200,,0.7400,
NTCT,"NetScout Systems, Inc.",NMS,Technology,Software - Infrastructure,42.88,43.66,5.5920,23.6970,1.3183,-0.0100,-0.0200,1.6400,33.4077
NOK,Nokia Corporation Sponsored,NYQ,Technology,Communication Equipment,16.25,16.835,7.3980,28.1583,1.3246,0.0240,,1.5500,105.2500
NIQ,NIQ Global Intelligence plc,NYQ,,,8.91,8.485,-0.1185,-19.4842,0.5386,,,,
NCNO,"nCino, Inc.",NMS,Technology,Software - Application,17.19,16.46,9.4799,-7.5598,1.4447,0.1060,1.4530,0.9538,138.5833
NAVN,"Navan, Inc.",NMS,Technology,Software - Application,22.78,23.01,15.7389,24.7001,0.8758,0.3480,,,
NATL,NCR Atleos Corporation,NYQ,Technology,Software - Application,44.47,44.365,-1.6851,0.6812,0.3986,0.0650,0.5710,0.3467,19.7946
MX,Magnachip Semiconductor Corpora,NYQ,Technology,Semiconductors,7.83,8.905,40.1345,134.2135,4.1310,0.0330,,1.1300,
MTLS,Materialise NV,NMS,Technology,Software - Application,6.86,6.93,9.1918,23.9209,1.5217,-0.0020,,1.2600,34.4500
MNTN,"MNTN, Inc.",NYQ,Technology,Software - Application,10.74,10.66,17.6271,-1.6068,1.7334,0.1420,,,7.4892
MEI,"Methode Electronics, Inc.",NYQ,Technology,Electronic Components,11.63,12.46,9.3450,40.9910,0.5388,-0.0260,,0.7800,
LYTS,LSI Industries Inc.,NMS,Technology,Electronic Components,24.1,24.055,-2.6273,3.5238,1.4877,0.1360,-0.4610,0.4000,32.5541
LYFT,"Lyft, Inc.",NMS,Technology,Software - Application,14.86,14.205,2.9927,0.3556,0.8956,0.1380,4.5510,0.1500,2.0629
LSPD,Lightspeed Commerce Inc. Subord,NYQ,Technology,Software - Application,9.89,9.54,9.1987,1.3089,1.0206,0.1470,,,
LPL,"LG Display Co, Ltd AMERICAN DEP",NYQ,Technology,Consumer Electronics,5.51,5.675,17.6229,32.8704,0.7091,-0.0880,,6.5600,
LIF,"Life360, Inc.",NMS,Technology,Software - Application,48.14,46.5,12.7098,1.5558,0.6581,0.3810,-0.3650,,26.8571
KVYO,"Klaviyo, Inc. Series A",NYQ,Technology,Software - Application,18.36,16.68,19.2118,-24.6106,0.9185,0.2790,,,
KN,Knowles Corporation,NYQ,Technology,Electronic Components,37.81,39.3,4.2398,22.8155,0.9303,0.1580,,0.4300,55.2324
KLAR,Klarna Group plc,NYQ,Financial Services,Credit Services,17.9,17.395,1.5072,17.6747,0.8389,0.4440,,0.1400,
KD,"Kyndryl Holdings, Inc.",NYQ,Technology,Information Technology Services,12.89,12.655,7.0518,-12.4392,0.8356,-0.0080,-0.7540,,14.8235
KC,Kingsoft Cloud Holdings Limited,NMS,Technology,Software - Application,13.33,13.75,4.4207,-9.9277,1.6195,0.2370,,,
JKS,JinkoSolar Holding Company Limi,NYQ,Technology,Solar,21.85,22.22,0.0881,-5.9213,0.9654,-0.1150,,0.1400,
