symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE,score_raw,score_norm,rank,pct_1w_n,pct_1m_n,rel_volume_n,revenueGrowth_n,earningsQuarterlyGrowth_n,rec_n,insider_n,valuation_n,kept,dropped_due_to
SRPT,"Sarepta Therapeutics, Inc.",NMS,Healthcare,Biotechnology,16.66,15.88,-9.7956,-27.0996,0.3208,-0.019,,-0.09,45.3857,0.256334,0.137014,138,0.253457,0.027244,0.177066,0.034956,0.5,0.5,0.5,0.990269,True,
PRAX,"Praxis Precision Medicines, Inc",NMS,Healthcare,Biotechnology,264.75,260.365,-22.2334,-21.7994,0.5007,,,,,0.254828,0.132908,139,0.025783,0.049946,0.29079,0.5,0.5,0.5,0.5,0.5,True,
NVST,Envista Holdings Corporation,NYQ,Healthcare,Medical Instruments & Supplies,22.87,22.92,-1.9255,-12.4857,0.2649,0.144,1.15,0.4861,55.9024,0.254377,0.13168,140,0.397519,0.089841,0.141728,0.041005,0.01175,0.5,0.5,0.984861,True,
OGN,Organon & Co.,NYQ,Healthcare,Drug Manufacturers - General,13.4,13.395,0.262,0.4876,0.0407,-0.035,0.678,0.2124,14.4032,0.253592,0.129539,141,0.437562,0.14541,0.0,0.034362,0.009113,0.5,0.5,0.995535,True,
RVTY,"Revvity, Inc.",NYQ,Healthcare,Diagnostics & Research,102.4,97.845,-2.5567,6.1213,0.1486,0.07,-0.036,0.61,47.0913,0.253507,0.129309,142,0.385965,0.169542,0.068209,0.038259,0.005124,0.5,0.5,0.986157,True,
SEM,Select Medical Holdings Corpora,NYQ,Healthcare,Medical Care Facilities,16.49,16.515,0.0303,0.8419,0.0497,0.05,-0.224,2.26,15.4346,0.253071,0.12812,143,0.43332,0.146928,0.005689,0.037517,0.004073,0.5,0.5,0.984385,True,
LFST,"LifeStance Health Group, Inc.",NMS,Healthcare,Medical Care Facilities,7.64,7.495,-5.4786,2.248,0.218,0.212,19.089,0.0655,125.0833,0.253012,0.127958,144,0.33248,0.152951,0.11208,0.043528,0.111983,0.5,0.5,0.971745,True,
TMO,Thermo Fisher Scientific Inc,NYQ,Healthcare,Diagnostics & Research,482.03,472.905,-4.279,1.3154,0.2491,0.062,0.096,1.59,26.0264,0.250526,0.121183,145,0.354438,0.148956,0.13174,0.037962,0.005861,0.5,0.5,0.985607,True,
RCUS,"Arcus Biosciences, Inc.",NYQ,Healthcare,Biotechnology,24.69,23.54,-8.2976,-9.67,0.2033,-0.393,,,,0.249936,0.119574,146,0.280878,0.101901,0.102788,0.021078,0.5,0.5,0.5,0.5,True,
PHR,"Phreesia, Inc.",NYQ,Healthcare,Health Information Services,9.69,9.45,-11.257,-1.9689,0.1518,0.129,,,59.125,0.245263,0.106839,147,0.226706,0.134888,0.070232,0.040448,0.5,0.5,0.5,0.737219,True,
THC,Tenet Healthcare Corporation,NYQ,Healthcare,Medical Care Facilities,161.37,164.1025,-3.5202,-12.2024,0.2529,0.028,0.729,4.07,8.5292,0.244275,0.104146,148,0.368328,0.091054,0.134142,0.0367,0.009398,0.5,0.5,0.976264,True,
UPB,"Upstream Bio, Inc.",NMS,Healthcare,Biotechnology,7.43,7.15,-11.5099,-21.6009,0.3407,0.827,,,,0.242734,0.099946,149,0.222077,0.050797,0.189645,0.06635,0.5,0.5,0.5,0.5,True,
VEEV,Veeva Systems Inc.,NYQ,Healthcare,Health Information Services,178.6,174.09,-7.601,1.8284,0.3075,0.163,0.144,0.84,30.9078,0.239996,0.092486,150,0.293629,0.151154,0.168658,0.04171,0.006129,0.5,0.5,0.988523,True,
RGNX,REGENXBIO Inc.,NMS,Healthcare,Biotechnology,6.88,6.14,-14.0756,-33.4599,0.6198,-0.928,,,,0.23909,0.090016,151,0.175111,0.0,0.366079,0.001225,0.5,0.5,0.5,0.5,True,
WRBY,Warby Parker Inc.,NYQ,Healthcare,Medical Instruments & Supplies,24.12,22.58,-7.5677,4.0397,0.4764,0.083,-0.085,,2253.5,0.235248,0.079544,152,0.294239,0.160625,0.275428,0.038741,0.00485,0.5,0.5,0.25,True,
WEAV,"Weave Communications, Inc.",NYQ,Healthcare,Health Information Services,5.77,5.7,-12.037,-6.7103,0.1943,0.174,,,,0.234723,0.078114,153,0.212428,0.114579,0.097098,0.042118,0.5,0.5,0.5,0.5,True,
MDLN,Medline Inc.,NMS,Healthcare,Medical Instruments & Supplies,34.45,34.16,-4.4755,-24.647,0.3612,0.107,-0.599,,29.9561,0.232686,0.072561,154,0.350841,0.037749,0.202604,0.039632,0.001978,0.5,0.5,0.743695,True,
OLMA,"Olema Pharmaceuticals, Inc.",NMS,Healthcare,Biotechnology,10.68,10.085,-20.653,-31.1134,0.2567,,,,,0.23261,0.072356,155,0.054712,0.010051,0.136545,0.5,0.5,0.5,0.5,0.5,True,
WAY,Waystar Holding Corp.,NMS,Healthcare,Health Information Services,20.22,20.11,-8.2117,-2.4248,0.1971,0.224,0.479,0.6269,30.0299,0.223617,0.047847,156,0.28245,0.132935,0.098868,0.043974,0.008001,0.5,0.5,0.989855,True,
SLP,"Simulations Plus, Inc.",NMS,Healthcare,Health Information Services,16.65,15.87,-10.4907,1.0185,0.2065,0.083,0.475,9.88,,0.206062,0.0,157,0.240733,0.147684,0.104811,0.038741,0.007979,0.5,0.5,0.696821,True,
